"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
142,2006,12,0,400,"3645","76","0","109","3830","155","0","3985",0,0,0,0,0,0,0,0
142,2006,12,0,500,"3738","76","0","16","3830","155","0","3985",0,0,0,0,0,0,0,0
142,2006,12,0,600,"3830","0","0","0","3830","425","0","4255",0,0,0,0,0,0,0,0
142,2006,12,0,700,"3812","0","0","18","3830","425","0","4255",0,0,0,0,0,0,0,0
142,2006,12,0,800,"3772","0","0","63","3835","425","0","4260",0,0,0,0,0,0,0,0
142,2006,12,0,900,"3835","0","0","0","3835","200","0","4035",0,0,0,0,0,0,0,0
142,2006,12,0,1000,"3835","0","0","0","3835","200","0","4035",0,0,0,0,0,0,0,0
142,2006,12,0,1100,"3215","198","325","97","3835","0","0","3835",0,0,0,0,0,0,0,0
142,2006,12,0,1200,"3803","0","0","32","3835","0","0","3835",0,0,0,0,0,0,0,0
122,2006,12,0,100,"23607","2541","156","2922","29226","-1738","0","27488",4,5,0,0,0,6,0,0
122,2006,12,0,200,"25847","3161","202","16","29226","146","0","29372",0,0,0,0,0,0,0,0
122,2006,12,0,300,"24387","3476","344","1019","29226","-269","0","28957",0,0,0,0,0,0,0,0
122,2006,12,0,400,"21338","2783","433","4672","29226","-329","0","28897",0,0,0,0,0,0,0,0
122,2006,12,0,500,"22018","1991","335","4882","29226","-3165","0","26061",0,0,0,0,0,0,0,0
122,2006,12,0,600,"24918","2997","991","320","29226","-2432","0","26794",0,0,0,0,0,0,0,0
122,2006,12,0,700,"25479","2884","745","118","29226","-1337","0","27889",0,0,0,0,0,0,0,0
122,2006,12,0,800,"23722","4282","327","1195","29526","-703","0","28823",0,0,0,0,0,0,0,0
122,2006,12,0,900,"24887","3511","879","249","29526","-545","0","28981",0,0,0,0,0,0,0,0
122,2006,12,0,1000,"21443","5938","1431","714","29526","-1475","0","28051",0,0,0,0,0,0,0,0
122,2006,12,0,1100,"24590","4288","321","327","29526","-962","0","28564",0,0,0,0,0,0,0,0
122,2006,12,0,1200,"24154","3756","577","1039","29526","-1938","0","27588",0,0,0,0,0,0,0,0
119,2006,12,0,100,"2017","120","4","0","2141","0","0","2141",0,0,0,0,0,0,0,0
119,2006,12,0,200,"2045","120","4","0","2169","0","0","2169",0,0,0,0,0,0,0,0
119,2006,12,0,300,"2014","105","4","0","2123","0","0","2123",0,0,0,0,0,0,0,0
119,2006,12,0,400,"2084","0","4","0","2088","0","0","2088",0,0,0,0,0,0,0,0
119,2006,12,0,500,"1910","199","4","0","2113","0","0","2113",0,0,0,0,0,0,0,0
